DepTime,ArrTime,UniqueCarrier,FlightNum,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut
912,1138,CO,220,32,7,IAH,PHX,1009,8,37
1020,1421,CO,226,2,0,IAH,BWI,1235,5,15
916,1336,CO,232,-15,-4,IAH,LGA,1416,4,31
1301,1356,CO,241,-2,-4,IAH,AUS,140,5,23
1554,1918,CO,244,-16,9,IAH,CLE,1091,5,18
1850,2211,CO,250,-18,0,IAH,RDU,1043,5,15
727,1120,CO,258,-1,-3,IAH,DCA,1208,4,24
1240,1526,CO,267,7,5,IAH,SEA,1874,9,14
1129,1351,CO,270,1,4,IAH,SFO,1635,7,27
1615,1741,CO,275,16,25,IAH,DEN,862,8,16
1145,1255,CO,279,4,0,IAH,SAT,191,3,22
735,1220,CO,282,4,0,IAH,BOS,1597,5,25
1046,1221,CO,297,13,11,IAH,LAS,1222,7,18
2102,2216,CO,299,-10,8,IAH,DEN,862,6,9
854,1137,CO,309,8,4,IAH,PDX,1825,5,24
1949,2,CO,310,33,49,IAH,EWR,1400,7,22
1431,1643,CO,320,12,1,IAH,PHX,1009,7,26
1312,1413,CO,323,-10,-3,IAH,MSY,305,2,15
1248,1628,CO,326,-16,-2,IAH,BWI,1235,4,13
742,1217,CO,332,4,-3,IAH,LGA,1416,7,31
1033,1420,CO,358,-5,-2,IAH,DCA,1208,3,18
1432,1656,CO,370,5,7,IAH,SFO,1635,6,29
1320,1420,CO,379,-2,0,IAH,SAT,191,3,18
1047,1526,CO,382,-5,-3,IAH,BOS,1597,10,21
1902,2022,CO,397,20,28,IAH,LAS,1222,7,11
1316,1643,CO,400,6,1,IAH,IND,845,5,33
1031,1203,CO,403,-1,1,IAH,SAN,1303,4,14
725,1117,CO,404,-5,-5,IAH,IAD,1190,5,21
1156,1555,CO,406,3,-4,IAH,IAD,1190,13,23
749,1216,CO,408,1,-1,IAH,EWR,1400,11,26
1701,2036,CO,410,-19,-2,IAH,IAD,1190,9,8
1911,2118,CO,421,80,91,IAH,SJC,1609,2,14
1924,2026,CO,423,-8,-1,IAH,MSY,305,2,19
1909,2254,CO,426,-12,-1,IAH,BWI,1235,4,18
1049,1507,CO,432,1,4,IAH,LGA,1416,6,23
1925,2202,CO,444,3,5,IAH,ORD,925,18,22
554,818,CO,446,-16,-6,IAH,ORD,925,11,16
1250,1638,CO,458,-7,-5,IAH,DCA,1208,4,15
2157,53,CO,467,58,42,IAH,SEA,1874,5,15
1911,2011,CO,479,-8,-2,IAH,SAT,191,3,14
1305,1746,CO,482,-3,0,IAH,BOS,1597,11,20
906,1056,CO,497,23,1,IAH,LAS,1222,7,36
1148,1327,CO,499,2,-2,IAH,DEN,862,6,26
855,1322,CO,510,2,0,IAH,EWR,1400,7,17
2056,2217,CO,511,5,1,IAH,MFE,316,4,17
1738,1939,CO,520,-2,-2,IAH,PHX,1009,8,12
1322,1807,CO,532,22,2,IAH,LGA,1416,7,40
1257,1627,CO,534,-16,-3,IAH,PIT,1117,7,18
1120,1355,CO,663,33,-5,IAH,EGE,935,4,16
1737,2003,CO,667,0,12,IAH,SEA,1874,6,11
1550,2012,CO,682,-25,0,IAH,BOS,1597,9,13
1034,1348,CO,686,0,-1,IAH,MCO,853,8,21
1107,1352,CO,1006,-2,17,IAH,TPA,787,3,13
1805,2211,CO,1010,-9,15,IAH,EWR,1400,9,16
2120,2323,CO,1046,-4,25,IAH,ORD,925,7,10
904,1217,CO,1873,-11,-6,IAH,MCO,853,6,26
1139,1319,CO,1882,-13,9,IAH,HDN,986,5,15
1757,2007,CO,1889,6,17,IAH,SMF,1609,5,17
925,1410,CO,1,20,0,IAH,HNL,3904,13,19
1829,1930,CO,5,-4,4,IAH,MSY,305,3,15
1550,1651,CO,6,-4,-5,IAH,SAT,191,6,17
1525,1626,CO,33,-8,0,IAH,MSY,305,5,13
1532,1633,CO,35,5,-3,IAH,AUS,140,9,20
1914,2125,CO,47,23,3,IAH,LAX,1379,15,33
754,953,CO,52,22,9,IAH,LAX,1379,7,31
1756,1933,CO,59,21,21,IAH,DEN,862,8,29
1205,1622,CO,60,-11,0,IAH,EWR,1400,12,14
1443,1851,CO,62,-6,18,IAH,EWR,1400,9,15
600,1014,CO,89,2,0,IAH,EWR,1400,8,15
1051,1520,CO,106,13,6,IAH,EWR,1400,14,28
736,843,CO,128,5,6,IAH,MSY,305,6,21
1441,1610,CO,137,-5,13,IAH,LAX,1379,10,14
1258,1550,CO,146,7,-7,IAH,ORD,925,15,38
2128,2252,CO,150,15,31,IAH,ONT,1334,4,12
1446,1834,CO,158,-1,1,IAH,DCA,1208,4,17
935,1203,CO,170,49,45,IAH,SFO,1635,8,30
1920,2236,CO,190,-7,0,IAH,MIA,964,4,25
1200,1326,CO,197,10,5,IAH,LAS,1222,7,37
559,717,CO,199,-20,-1,IAH,DEN,862,5,14
1305,1606,CO,206,2,5,IAH,TPA,787,5,23
2200,19,CO,209,20,37,IAH,PDX,1825,5,10
1607,2033,CO,210,9,17,IAH,EWR,1400,9,28
1022,1615,CO,212,-5,7,IAH,SJU,2007,5,16
900,1101,CO,220,0,-5,IAH,PHX,1009,9,19
1024,1429,CO,226,15,4,IAH,BWI,1235,6,26
923,1339,CO,232,-7,3,IAH,LGA,1416,7,17
1304,1408,CO,241,10,-1,IAH,AUS,140,6,27
1555,1943,CO,244,9,10,IAH,CLE,1091,7,25
1848,2224,CO,250,-1,-2,IAH,RDU,1043,9,21
1236,1500,CO,267,-19,1,IAH,SEA,1874,6,17
1143,1359,CO,270,14,18,IAH,SFO,1635,5,24
1550,1712,CO,275,-13,0,IAH,DEN,862,5,16
1144,1248,CO,279,2,-1,IAH,SAT,191,3,22
1047,1200,CO,297,-15,0,IAH,LAS,1222,6,12
2112,2301,CO,299,35,18,IAH,DEN,862,24,26
848,1104,CO,309,-20,-2,IAH,PDX,1825,4,13
1925,5,CO,310,36,25,IAH,EWR,1400,6,53
1433,1622,CO,320,-9,3,IAH,PHX,1009,7,10
1315,1425,CO,323,2,0,IAH,MSY,305,3,24
1305,1702,CO,326,18,15,IAH,BWI,1235,5,28
1130,1326,CO,352,14,-5,IAH,GUC,886,4,45
1031,1426,CO,358,6,-4,IAH,DCA,1208,20,16
1459,1715,CO,370,24,34,IAH,SFO,1635,7,16
1316,1425,CO,379,3,-4,IAH,SAT,191,4,29
1046,1518,CO,382,-8,-4,IAH,BOS,1597,5,17
1801,1940,CO,397,10,-1,IAH,LAS,1222,7,33
1315,1639,CO,400,-1,0,IAH,IND,845,5,36
1026,1158,CO,403,-1,-4,IAH,SAN,1303,3,19
722,1054,CO,404,-28,-8,IAH,IAD,1190,7,10
1157,1607,CO,406,15,-3,IAH,IAD,1190,9,37
745,1209,CO,408,2,-5,IAH,EWR,1400,11,13
1706,2050,CO,410,-5,3,IAH,IAD,1190,6,13
1813,2046,CO,421,48,33,IAH,SJC,1609,5,37
2004,2128,CO,423,54,39,IAH,MSY,305,10,34
